State,City,Population,"Violent crime","Murder and nonnegligent manslaughter",Rape,Robbery,"Aggravated assault","Property crime",Burglary,"Larceny-theft","Motor vehicle theft",Arson
Alabama,Hoover,"85,670",114,4,15,27,68,"1,922",128,"1,694",100,2
Alaska,Anchorage,"287,731","3,581",32,540,621,"2,388","12,261","1,692","9,038","1,531",93
Alaska,Bethel,"6,544",130,1,47,3,79,132,20,84,28,12
Alaska,Bristol Bay Borough,852,2,0,0,0,2,20,5,8,7,0
Alaska,Cordova,"2,150",0,0,0,0,0,7,1,6,0,0
Alaska,Craig,"1,313",7,0,0,0,7,20,5,12,3,0
Alaska,Dillingham,"2,405",49,1,3,1,44,58,11,37,10,0
Alaska,Fairbanks,"31,493",247,3,33,52,159,"1,353",163,"1,006",184,23
Alaska,Haines,"2,441",9,0,0,0,9,13,1,10,2,0
Alaska,Homer,"5,913",12,0,0,0,12,146,11,118,17,
Alaska,Juneau,"31,810",289,3,24,45,217,"1,292",187,"1,012",93,16
Alaska,Kenai,"7,862",75,2,28,3,42,446,46,353,47,2
Alaska,Ketchikan,"8,316",40,0,9,1,30,421,32,368,21,2
Alaska,Kodiak,"5,947",49,0,14,4,31,190,37,122,31,3
Alaska,Kotzebue,"3,272",77,0,22,7,48,83,19,47,17,2
Alaska,Nome,"3,899",107,0,59,1,47,53,14,32,7,0
Alaska,North Pole,"2,111",16,0,3,0,13,79,12,63,4,1
Alaska,North Slope Borough,"9,801",123,2,6,0,115,72,18,46,8,3
Alaska,Palmer,"7,490",21,1,1,3,16,204,19,158,27,0
Alaska,Petersburg,"3,181",10,0,0,0,10,88,12,74,2,0
Alaska,Seward,"2,732",9,0,6,0,3,105,14,85,6,0
Alaska,Sitka,"8,512",16,0,2,4,10,168,18,139,11,0
Alaska,Skagway,"1,159",1,0,1,0,0,9,0,7,2,0
Alaska,Soldotna,"4,756",13,0,2,1,10,142,9,125,8,0
Alaska,Unalaska,"4,513",7,0,0,1,6,39,2,34,3,0
Alaska,Valdez,"3,816",5,0,0,0,5,40,2,34,4,0
Alaska,Wasilla,"10,915",48,1,5,14,28,580,115,425,40,4
Alaska,Wrangell,"2,489",2,0,2,0,0,11,3,7,1,0
Arizona,Apache Junction,"42,531",95,2,12,14,67,,,453,88,6
Arizona,Avondale,"87,117",251,1,21,82,147,"3,095",381,"2,467",247,16
Arizona,Buckeye,"77,904",107,2,26,10,69,"1,265",146,"1,050",69,1
Arizona,Bullhead City,"40,532",129,2,23,25,79,"1,352",235,981,136,9
Arizona,Camp Verde,"11,286",46,0,3,0,43,265,62,187,16,1
Arizona,Casa Grande,"58,366",274,2,27,33,212,"1,336",149,"1,071",116,11
Arizona,Chandler,"259,881",593,4,134,102,353,"5,382",547,"4,458",377,19
Arizona,Chino Valley,"12,162",37,0,1,0,36,154,32,107,15,0
Arizona,Clarkdale,"4,434",3,0,0,0,3,44,16,26,2,0
Arizona,Coolidge,"13,138",70,2,2,5,61,393,73,290,30,5
Arizona,Cottonwood,"12,331",45,0,0,5,40,422,37,359,26,2
Arizona,Douglas,"15,786",10,0,0,0,10,594,88,486,20,0
Arizona,Eagar,"4,897",11,0,3,1,7,21,7,13,1,0
Arizona,El Mirage,"36,185",84,2,22,14,46,982,362,523,97,5
Arizona,Flagstaff,"75,013",367,1,42,43,281,"2,371",140,"2,169",62,33
Arizona,Florence,"26,385",44,1,5,1,37,74,9,58,7,0
Arizona,Fredonia,"1,296",1,0,0,0,1,13,3,8,2,0
Arizona,Gilbert,"253,619",245,1,48,45,151,"3,050",403,"2,493",154,11
Arizona,Glendale,"253,951",863,17,63,233,550,"8,083","1,416","5,857",810,
Arizona,Globe,"7,323",134,0,0,4,130,525,70,424,31,1
Arizona,Goodyear,"85,305",172,1,33,19,119,"2,045",330,"1,608",107,0
Arizona,Hayden,979,8,0,0,1,7,35,19,13,3,2
Arizona,Holbrook,"5,098",39,0,1,6,32,324,86,212,26,3
Arizona,Huachuca City,"1,723",6,1,4,0,1,20,6,12,2,0
Arizona,Jerome,459,1,0,0,0,1,19,7,12,0,0
Arizona,Kearny,"2,170",1,0,1,0,0,14,7,6,1,1
Arizona,Kingman,"30,600",100,0,9,12,79,"1,342",208,"1,039",95,28
Arizona,Lake Havasu City,"55,413",87,1,29,3,54,670,108,519,43,2
Arizona,Mammoth,"1,669",3,0,0,1,2,14,0,12,2,0
Arizona,Marana,"48,816",35,0,7,9,19,"1,132",70,"1,020",42,2
Arizona,Maricopa,"50,881",85,1,11,4,69,604,58,491,55,2
Arizona,Mesa,"518,160","1,953",11,286,390,"1,266","9,683","1,518","7,326",839,27
Arizona,Miami,"1,768",27,0,0,3,24,31,30,1,0,1
Arizona,Nogales,"20,112",41,0,0,0,41,608,66,409,133,0
Arizona,Oro Valley,"45,970",22,1,8,3,10,588,49,515,24,0
Arizona,Page,"7,588",126,1,9,9,107,537,53,456,28,0
Arizona,Paradise Valley,"14,733",10,0,5,2,3,161,35,119,7,0
Arizona,Parker,"3,219",2,0,0,1,1,81,20,56,5,0
Arizona,Payson,"15,760",59,0,1,4,54,288,60,208,20,3
Arizona,Peoria,"174,571",407,4,70,83,250,"3,273",438,"2,592",243,9
Arizona,Phoenix,"1,688,722","11,803",131,"1,139","3,197","7,336","55,974","9,471","39,427","7,076",201
Arizona,Pima,"2,530",0,0,0,0,0,36,10,21,5,0
Arizona,Pinetop-Lakeside,"4,452",21,0,4,1,16,143,32,104,7,0
Arizona,Prescott,"43,781",214,1,20,11,182,684,134,518,32,5
Arizona,Prescott Valley,"46,700",93,3,11,6,73,474,51,404,19,2
Arizona,Safford,"9,916",21,0,0,0,21,363,33,311,19,0
Arizona,Sahuarita,"30,928",43,1,11,6,25,345,44,272,29,3
Arizona,San Luis,"34,192",33,0,0,2,31,420,53,262,105,2
Arizona,Scottsdale,"260,464",415,3,136,110,166,"5,099",662,"4,173",264,15
Arizona,Show Low,"11,401",59,0,6,2,51,332,38,277,17,0
Arizona,Sierra Vista,"44,310",116,2,7,16,91,987,124,800,63,3
Arizona,Snowflake-Taylor,"10,173",53,1,0,1,51,151,51,85,15,0
Arizona,Somerton,"16,771",36,6,1,4,25,129,25,80,24,0
Arizona,Springerville,"1,984",0,0,0,0,0,11,4,7,0,0
Arizona,St. Johns,"3,520",12,1,4,1,6,59,29,29,1,1
Arizona,Surprise,"140,962",138,4,28,46,60,"2,083",217,"1,729",137,10
Arizona,Tempe,"196,499",889,8,141,209,531,"7,420",922,"5,891",607,19
Arizona,Thatcher,"5,177",3,0,0,0,3,112,12,99,1,0
Arizona,Tolleson,"7,399",68,0,4,20,44,666,206,390,70,0
Arizona,Tucson,"548,374","3,775",40,527,"1,105","2,103","17,943","2,497","13,196","2,250",142
Arizona,Wellton,"3,048",5,0,1,0,4,31,9,20,2,0
Arizona,Wickenburg,"7,054",17,0,4,0,13,148,32,93,23,0
Arizona,Willcox,"3,507",7,0,0,0,7,127,29,89,9,1
Arizona,Williams,"3,251",26,0,0,0,26,66,8,52,6,0
Arizona,Winslow,"9,393",126,0,4,9,113,445,35,380,30,2
Arizona,Yuma,"98,769",376,11,27,29,309,"2,302",483,"1,586",233,14
Arkansas,Alexander,"3,315",15,0,6,0,9,73,16,54,3,0
Arkansas,Alma,"5,888",35,0,18,2,15,228,36,181,11,0
Arkansas,Altus,729,0,0,0,0,0,22,10,12,0,0
Arkansas,Amity,675,1,0,0,0,1,2,0,2,0,0
Arkansas,Ashdown,"4,370",13,0,3,0,10,102,22,74,6,0
Arkansas,Ash Flat,"1,095",5,0,0,0,5,40,3,36,1,0
Arkansas,Atkins,"3,037",11,0,6,0,5,76,7,60,9,0
Arkansas,Augusta,"1,939",12,0,5,0,7,31,4,25,2,0
Arkansas,Austin,"3,973",4,0,0,0,4,21,7,13,1,0
Arkansas,Bald Knob,"2,872",23,0,9,2,12,118,23,89,6,1
Arkansas,Barling,"5,010",28,0,9,0,19,75,5,66,4,0
Arkansas,Batesville,"10,889",29,0,5,2,22,262,37,212,13,0
Arkansas,Bay,"1,805",3,0,0,1,2,24,5,17,2,0
Arkansas,Bearden,859,1,0,0,0,1,7,1,5,1,0
Arkansas,Beebe,"8,242",23,0,9,0,14,273,38,218,17,0
Arkansas,Bella Vista,"28,931",49,0,17,0,32,188,39,144,5,1
Arkansas,Benton,"37,161",212,4,18,27,163,"1,328",202,"1,000",126,6
Arkansas,Bentonville,"53,434",119,1,21,9,88,734,80,623,31,1
Arkansas,Berryville,"5,547",25,0,11,4,10,193,48,135,10,2
Arkansas,Bethel Heights,"2,810",4,0,4,0,0,18,3,14,1,0
Arkansas,Blytheville,"13,468",109,10,5,16,78,629,98,528,3,0
Arkansas,Bono,"2,444",6,0,3,0,3,28,6,19,3,0
Arkansas,Booneville,"3,829",17,1,2,0,14,107,34,70,3,0
Arkansas,Bradford,732,2,0,0,0,2,8,0,7,1,0
Arkansas,Brinkley,"2,623",29,0,1,1,27,80,25,42,13,2
Arkansas,Brookland,"3,759",7,0,5,0,2,60,9,50,1,1
Arkansas,Bryant,"21,214",32,1,5,3,23,888,45,783,60,3
Arkansas,Bull Shoals,"1,971",2,0,0,0,2,21,6,14,1,0
Arkansas,Cabot,"26,875",100,0,39,3,58,371,62,256,53,2
Arkansas,Caddo Valley,588,1,0,1,0,0,34,2,30,2,0
Arkansas,Camden,"10,742",113,0,8,10,95,373,84,274,15,4
Arkansas,Cammack Village,720,0,0,0,0,0,14,1,12,1,0
Arkansas,Carlisle,"2,184",4,0,1,2,1,51,11,39,1,0
Arkansas,Cave Springs,"5,580",3,0,2,0,1,20,3,16,1,0
Arkansas,Cedarville,"1,413",10,0,2,1,7,19,2,12,5,0
Arkansas,Centerton,"16,542",53,2,21,1,29,139,35,96,8,0
Arkansas,Charleston,"2,454",7,0,2,0,5,24,8,16,0,0
Arkansas,Cherokee Village,"4,634",10,0,2,0,8,78,31,45,2,0
Arkansas,Cherry Valley,583,1,0,0,0,1,8,4,4,0,0
Arkansas,Clarksville,"9,813",29,0,15,3,11,240,15,215,10,0
Arkansas,Clinton,"2,489",8,0,3,1,4,113,22,85,6,0
Arkansas,Conway,"67,336",324,2,49,51,222,"1,842",177,"1,567",98,8
Arkansas,Corning,"3,093",10,0,2,0,8,41,13,22,6,0
Arkansas,Cotter,940,3,0,1,0,2,17,6,10,1,0
Arkansas,Crossett,"4,846",30,0,3,2,25,187,78,102,7,0
Arkansas,Damascus,377,0,0,0,0,0,4,0,4,0,0
Arkansas,Dardanelle,"4,555",28,1,10,1,16,114,35,69,10,0
Arkansas,Decatur,"1,813",17,0,8,0,9,46,9,34,3,0
Arkansas,De Queen,"6,593",33,0,10,0,23,172,64,104,4,0
Arkansas,Des Arc,"1,580",8,0,0,0,8,20,9,11,0,0
Arkansas,DeWitt,"3,019",28,0,6,1,21,84,28,51,5,4
Arkansas,Diaz,"1,197",1,0,0,0,1,14,5,4,5,0
Arkansas,Dover,"1,434",8,0,0,0,8,30,4,24,2,1
Arkansas,Dumas,"4,084",15,1,1,1,12,33,14,18,1,0
Arkansas,Earle,"2,201",15,0,1,1,13,46,20,24,2,0
Arkansas,El Dorado,"17,820",239,3,16,23,197,996,524,431,41,4
Arkansas,Elkins,"3,246",24,0,9,0,15,27,3,22,2,1
Arkansas,England,"2,723",21,0,4,2,15,87,28,57,2,0
Arkansas,Etowah,317,0,0,0,0,0,4,1,3,0,0
Arkansas,Eudora,"1,930",4,0,1,2,1,32,12,20,0,0
Arkansas,Eureka Springs,"2,092",22,0,4,3,15,95,28,60,7,0
Arkansas,Fairfield Bay,"2,202",10,1,4,0,5,40,9,29,2,2
Arkansas,Farmington,"7,387",33,0,14,3,16,67,8,53,6,3
Arkansas,Fayetteville,"88,500",396,3,56,52,285,"3,966",398,"3,146",422,2
Arkansas,Flippin,"1,340",5,0,2,0,3,61,11,47,3,0
Arkansas,Fordyce,"3,745",42,0,6,6,30,213,63,138,12,2
Arkansas,Forrest City,"13,887",129,2,8,20,99,668,85,457,126,4
Arkansas,Fort Smith,"88,041",863,4,97,90,672,"5,127",812,"3,929",386,11
Arkansas,Gassville,"2,156",9,2,2,1,4,51,6,42,3,0
Arkansas,Gentry,"3,924",15,0,1,0,14,21,1,18,2,0
Arkansas,Glenwood,"2,095",2,0,0,0,2,24,9,12,3,0
Arkansas,Gosnell,"3,148",14,0,2,1,11,46,19,25,2,0
Arkansas,Gravette,"3,443",14,0,1,1,12,77,13,59,5,0
Arkansas,Greenbrier,"5,660",10,0,7,0,3,16,0,11,5,0
Arkansas,Green Forest,"2,763",18,0,6,0,12,66,18,46,2,0
Arkansas,Greenland,"1,450",6,0,1,0,5,15,0,12,3,0
Arkansas,Greenwood,"9,436",23,0,1,0,22,36,11,25,0,1
Arkansas,Gurdon,"2,069",19,0,5,0,14,32,8,19,5,0
Arkansas,Hamburg,"2,636",18,1,1,0,16,16,7,8,1,1
Arkansas,Harrisburg,"2,368",18,0,8,0,10,37,5,28,4,0
Arkansas,Harrison,"13,107",50,0,9,2,39,350,50,272,28,3
Arkansas,Haskell,"4,715",16,0,5,0,11,75,14,58,3,1
Arkansas,Hazen,"1,336",5,0,1,0,4,26,10,11,5,0
Arkansas,Heber Springs,"6,912",24,0,8,1,15,231,45,180,6,0
Arkansas,Helena-West Helena,"10,187",187,11,17,17,142,578,167,364,47,11
Arkansas,Highland,"1,100",4,0,0,0,4,17,5,11,1,0
Arkansas,Hope,"9,666",70,0,12,4,54,396,96,278,22,0
Arkansas,Hot Springs,"37,263",241,10,38,42,151,"2,674",755,"1,710",209,8
Arkansas,Hoxie,"2,588",5,0,0,0,5,24,8,15,1,1
Arkansas,Jacksonville,"28,273",271,0,26,42,203,"1,484",281,"1,027",176,1
Arkansas,Jericho,106,0,0,0,0,0,0,0,0,0,0
Arkansas,Johnson,"3,781",6,0,1,1,4,85,32,41,12,0
Arkansas,Jonesboro,"78,261",537,13,74,58,392,"2,982","1,092","1,758",132,2
Arkansas,Judsonia,"1,981",12,0,3,1,8,29,6,23,0,0
Arkansas,Kensett,"1,618",7,0,1,0,6,18,3,14,1,1
Arkansas,Lake City,"2,598",4,0,1,1,2,19,8,9,2,0
Arkansas,Lakeview,715,4,1,0,0,3,12,2,8,2,0
Arkansas,Lake Village,"2,241",20,2,4,4,10,68,16,50,2,1
Arkansas,Lamar,"1,740",0,0,0,0,0,25,4,21,0,0
Arkansas,Lincoln,"2,500",9,0,4,0,5,51,12,34,5,0
Arkansas,Little Flock,"2,791",10,0,2,1,7,35,8,24,3,0
Arkansas,Little Rock,"198,382","3,009",38,209,391,"2,371","12,145","1,760","9,316","1,069",45
Arkansas,Lonoke,"4,261",22,0,4,2,16,127,15,108,4,1
Arkansas,Lowell,"9,723",28,0,3,1,24,117,38,71,8,0
Arkansas,Luxora,"1,016",1,0,0,1,0,3,2,1,0,0
Arkansas,Madison,685,3,0,0,1,2,5,2,3,0,0
Arkansas,Magnolia,"11,440",14,0,2,1,11,295,95,198,2,2
Arkansas,Marianna,"3,398",28,2,5,2,19,154,52,89,13,2
Arkansas,Marion,"12,344",122,0,12,11,99,379,61,291,27,1
Arkansas,Marked Tree,"2,462",17,0,0,0,17,50,13,31,6,0
Arkansas,Marmaduke,"1,264",6,0,0,1,5,47,11,35,1,0
Arkansas,Marshall,"1,297",3,0,1,0,2,12,3,8,1,1
Arkansas,Maumelle,"18,223",28,2,3,5,18,301,64,218,19,2
Arkansas,Mayflower,"2,489",10,0,2,1,7,66,16,46,4,0
Arkansas,McCrory,"1,513",11,0,2,0,9,33,9,19,5,0
Arkansas,McGehee,"3,681",31,0,8,0,23,95,34,59,2,0
Arkansas,McRae,661,1,0,0,0,1,4,2,2,0,0
Arkansas,Mena,"5,508",3,0,2,0,1,223,29,186,8,2
Arkansas,Menifee,316,0,0,0,0,0,2,2,0,0,0
Arkansas,Mineral Springs,"1,148",1,0,0,0,1,13,5,6,2,0
Arkansas,Monette,"1,603",1,0,1,0,0,22,6,16,0,0
Arkansas,Monticello,"9,438",38,0,10,5,23,289,45,229,15,6
Arkansas,Morrilton,"6,631",26,0,11,2,13,240,9,225,6,1
Arkansas,Mountainburg,608,7,0,2,0,5,28,5,21,2,0
Arkansas,Mountain Home,"12,458",32,0,19,1,12,486,48,423,15,0
Arkansas,Mountain View,"2,850",9,0,1,0,8,99,30,66,3,0
Arkansas,Mulberry,"1,644",14,0,3,0,11,61,10,50,1,0
Arkansas,Murfreesboro,"1,533",4,0,1,0,3,12,3,9,0,0
Arkansas,Nashville,"4,403",27,0,13,0,14,130,18,108,4,0
Arkansas,Newport,"7,485",92,1,12,3,76,369,70,289,10,1
Arkansas,Norfork,533,0,0,0,0,0,1,0,1,0,0
Arkansas,North Little Rock,"66,604",562,12,23,106,421,"2,479",380,"1,723",376,17
Arkansas,Osceola,"6,653",172,4,15,7,146,316,151,144,21,7
Arkansas,Ozark,"3,573",29,0,6,1,22,86,44,40,2,0
Arkansas,Paragould,"29,245",307,0,29,13,265,"1,378",188,"1,083",107,4
Arkansas,Paris,"3,392",22,0,3,2,17,94,32,59,3,1
Arkansas,Pea Ridge,"6,230",24,0,4,0,20,69,9,52,8,0
Arkansas,Perryville,"1,454",3,2,0,0,1,29,3,20,6,0
Arkansas,Piggott,"3,569",17,0,7,0,10,52,13,36,3,0
Arkansas,Pine Bluff,"41,505",644,23,23,96,502,,,"1,448",271,39
Arkansas,Plumerville,773,0,0,0,0,0,11,2,9,0,0
Arkansas,Pocahontas,"6,647",43,0,21,1,21,216,31,171,14,1
Arkansas,Pottsville,"3,332",13,0,1,0,12,18,7,11,0,1
Arkansas,Prairie Grove,"6,595",16,1,6,0,9,134,27,103,4,0
Arkansas,Prescott,"2,985",6,0,3,0,3,,,34,4,1
Arkansas,Quitman,711,2,0,0,0,2,22,1,21,0,0
Arkansas,Ravenden,443,2,0,0,0,2,5,0,5,0,0
Arkansas,Redfield,"1,564",4,0,2,0,2,23,11,11,1,0
Arkansas,Rogers,"69,168",330,1,87,21,221,"1,968",166,"1,699",103,6
Arkansas,Rose Bud,483,0,0,0,0,0,11,2,8,1,0
Arkansas,Russellville,"29,446",140,0,13,9,118,897,109,729,59,2
Arkansas,Salem,"1,637",2,0,1,0,1,15,7,7,1,0
Arkansas,Searcy,"23,873",199,4,15,21,159,"1,042",230,756,56,0
Arkansas,Shannon Hills,"4,017",17,0,5,1,11,62,27,21,14,1
Arkansas,Sheridan,"4,954",14,0,4,1,9,,20,,7,0
Arkansas,Sherwood,"31,435",195,1,17,13,164,928,214,625,89,4
Arkansas,Siloam Springs,"17,235",70,0,15,4,51,458,96,307,55,4
Arkansas,Star City,"2,058",17,1,2,2,12,48,12,30,6,0
Arkansas,St. Charles,208,0,0,0,0,0,3,1,2,0,0
Arkansas,Stuttgart,"8,589",101,1,10,5,85,302,69,219,14,5
Arkansas,Sulphur Springs,534,10,0,1,0,9,7,3,4,0,0
Arkansas,Swifton,727,1,0,0,0,1,7,1,6,0,0
Arkansas,Texarkana,"29,971",183,4,13,27,139,"1,130",215,847,68,3
Arkansas,Trumann,"7,043",41,0,15,4,22,321,72,236,13,0
Arkansas,Tuckerman,"1,671",9,0,3,0,6,34,13,17,4,0
Arkansas,Van Buren,"23,800",117,0,14,7,96,752,149,541,62,0
Arkansas,Vilonia,"4,762",5,0,0,1,4,55,9,43,3,0
Arkansas,Waldron,"3,332",15,0,4,0,11,112,37,74,1,2
Arkansas,Walnut Ridge,"5,019",11,0,2,0,9,69,20,41,8,0
Arkansas,Ward,"5,454",64,0,12,1,51,103,31,69,3,1
Arkansas,Warren,"5,634",24,0,4,1,19,146,55,86,5,0
Arkansas,Weiner,679,4,0,1,0,3,12,4,7,1,0
Arkansas,West Fork,"2,672",5,0,1,1,3,34,7,26,1,0
Arkansas,West Memphis,"24,442",485,8,33,57,387,"1,225",336,756,133,9
Arkansas,White Hall,"5,014",5,0,0,2,3,69,26,34,9,0
Arkansas,Wilson,819,0,0,0,0,0,12,0,12,0,0
Arkansas,Wynne,"7,812",79,1,8,4,66,292,80,194,18,4
California,Adelanto,"34,491",276,1,20,42,213,459,136,209,114,14
California,Agoura Hills,"20,490",21,0,6,4,11,306,66,223,17,0
California,Alameda,"78,907",162,0,7,94,61,"2,579",218,"1,958",403,29
California,Albany,"20,083",40,0,8,21,11,685,105,534,46,1
California,Alhambra,"84,837",161,2,11,89,59,"1,749",259,"1,303",187,8
California,Aliso Viejo,"52,247",27,1,3,13,10,433,57,351,25,1
California,Alturas,"2,471",10,0,2,1,7,30,14,13,3,0
California,American Canyon,"20,452",53,0,7,7,39,454,59,368,27,3
California,Anaheim,"353,915","1,120",8,141,396,575,"8,258","1,123","5,904","1,231",44
California,Anderson,"10,545",61,1,5,12,43,363,63,208,92,1
California,Angels Camp,"3,909",6,0,2,1,3,74,19,45,10,0
California,Antioch,"112,641",648,12,55,238,343,"3,199",511,"2,078",610,59
California,Apple Valley,"74,051",339,4,19,68,248,"1,105",230,660,215,11
California,Arcadia,"58,899",84,1,10,35,38,"1,348",301,973,74,3
California,Arcata,"18,332",72,1,12,16,43,605,122,425,58,21
California,Arroyo Grande,"18,188",27,0,2,7,18,275,35,219,21,3
California,Artesia,"16,779",72,1,2,28,41,284,90,161,33,0
California,Arvin,"21,811",196,3,3,16,174,437,115,178,144,16
California,Atascadero,"30,579",65,0,7,7,51,493,96,360,37,3
California,Atherton,"7,222",12,0,2,4,6,110,32,74,4,0
California,Atwater,"29,632",206,1,10,22,173,"1,031",140,708,183,0
California,Auburn,"14,201",50,0,8,5,37,237,72,146,19,5
California,Avalon,"3,722",10,0,2,0,8,40,7,28,5,0
California,Avenal,"12,991",69,0,7,3,59,58,26,28,4,0
California,Azusa,"50,405",144,5,17,46,76,959,174,646,139,12
California,Bakersfield,"388,080","1,766",34,116,701,915,"16,074","3,888","9,277","2,909",470
California,Baldwin Park,"75,862",188,1,24,50,113,"1,110",196,606,308,5
California,Banning,"31,450",136,2,16,27,91,532,179,210,143,0
California,Barstow,"24,121",274,5,10,82,177,986,285,527,174,37
California,Bear Valley,"5,507",11,0,7,0,4,44,6,36,2,0
California,Beaumont,"50,990",92,2,14,38,38,922,178,548,196,11
California,Bell,"35,759",168,0,11,37,120,441,127,224,90,0
California,Bellflower,"77,196",327,1,29,107,190,"1,506",326,860,320,7
California,Bell Gardens,"42,366",147,0,4,69,74,630,78,334,218,4
California,Belmont,"27,272",45,1,8,1,35,392,50,312,30,2
California,Belvedere,"2,114",1,0,0,0,1,15,2,13,0,0
California,Benicia,"28,471",16,0,1,13,2,377,72,250,55,2
California,Berkeley,"122,788",618,0,74,369,175,"6,256",771,"4,993",492,17
California,Beverly Hills,"34,211",103,1,6,52,44,"1,499",257,"1,197",45,6
California,Big Bear,"5,311",76,0,7,4,65,135,30,92,13,0
California,Biggs,"1,726",3,0,1,0,2,17,3,10,4,0
California,Bishop,"3,731",34,0,9,6,19,183,29,150,4,0
California,Blythe,"19,889",92,0,7,29,56,644,177,434,33,44
California,Bradbury,"1,089",1,0,0,1,0,10,2,6,2,0
California,Brawley,"26,379",121,2,4,8,107,618,95,468,55,15
California,Brea,"44,155",72,0,10,29,33,"1,450",169,"1,209",72,3
California,Brentwood,"65,483",166,0,16,67,83,"1,335",142,"1,095",98,11
California,Brisbane,"4,746",10,0,2,0,8,137,64,52,21,1
California,Broadmoor,"4,446",11,0,2,7,2,82,15,55,12,0
California,Buellton,"5,142",3,0,0,0,3,54,15,31,8,0
California,Buena Park,"82,627",246,1,15,91,139,"2,061",230,"1,567",264,1
California,Burbank,"103,738",189,1,11,54,123,"2,617",299,"2,107",211,4
California,Burlingame,"30,677",74,0,9,25,40,"1,185",162,937,86,4
California,Calabasas,"24,016",35,1,6,15,13,331,81,226,24,1
California,Calexico,"40,327",94,0,3,21,70,894,244,470,180,56
California,California City,"14,319",83,0,13,15,55,281,102,120,59,3
California,Calimesa,"9,073",22,0,0,7,15,280,51,193,36,0
California,Calistoga,"5,341",6,0,0,0,6,70,7,54,9,0
California,Camarillo,"69,628",58,0,22,16,20,817,100,676,41,2
California,Campbell,"42,697",89,0,22,21,46,"1,357",209,990,158,13
California,Canyon Lake,"11,353",15,0,0,1,14,74,15,47,12,0
California,Capitola,"10,101",30,0,3,6,21,528,53,454,21,2
California,Carlsbad,"117,220",240,3,40,39,158,"2,135",297,"1,671",167,11
California,Carmel,"3,877",11,0,0,0,11,103,20,81,2,0
California,Carpinteria,"13,514",11,1,0,3,7,155,19,116,20,0
California,Carson,"91,947",444,5,31,122,286,"2,004",328,"1,277",399,14
California,Cathedral City,"55,346",144,7,19,48,70,602,182,227,193,4
California,Central Marin,"34,793",32,0,6,10,16,"1,094",360,684,50,0
California,Ceres,"49,134",209,1,12,59,137,"1,158",239,628,291,20
California,Cerritos,"50,642",127,1,10,65,51,"1,634",314,"1,198",122,0
California,Chico,"95,826",557,0,100,104,353,"2,406",272,"1,753",381,48
California,Chino,"93,348",329,3,35,96,195,"2,224",376,"1,649",199,5
California,Chino Hills,"84,577",95,1,10,20,64,891,222,606,63,5
California,Chowchilla,"18,792",39,0,2,3,34,234,71,109,54,7
California,Chula Vista,"275,230",904,3,61,265,575,"3,816",486,"2,503",827,36
California,Citrus Heights,"88,496",313,1,46,76,190,"2,248",372,"1,607",269,7
California,Claremont,"36,681",51,0,6,23,22,774,191,552,31,7
California,Clayton,"12,356",1,0,0,1,0,155,14,137,4,0
California,Clearlake,"15,400",119,1,19,36,63,460,146,210,104,11
California,Cloverdale,"8,910",16,0,1,0,15,116,25,87,4,1
California,Clovis,"114,170",243,0,54,32,157,"2,276",307,"1,810",159,6
California,Coachella,"46,485",126,0,9,43,74,894,135,580,179,5
California,Coalinga,"16,356",41,0,2,4,35,217,38,159,20,4
California,Colma,"1,512",28,0,0,20,8,325,36,263,26,2
California,Colton,"55,059",215,1,9,103,102,"1,517",317,836,364,8
California,Colusa,"5,903",6,0,4,1,1,78,28,34,16,0
California,Commerce,"12,804",138,1,5,49,83,"1,004",128,624,252,16
California,Compton,"96,638","1,104",18,40,427,619,"2,346",334,"1,285",727,44
California,Concord,"130,615",541,2,67,234,238,"4,560",434,"3,512",614,23
California,Corcoran,"21,353",118,1,8,12,97,272,65,157,50,5
California,Corning,"7,537",28,0,6,4,18,211,51,127,33,1
California,Corona,"170,875",291,4,43,103,141,"3,482",646,"2,251",585,28
California,Coronado,"21,115",9,0,1,7,1,324,34,276,14,2
California,Costa Mesa,"114,047",312,0,52,104,156,"3,739",450,"2,934",355,16
California,Cotati,"7,641",40,1,6,5,28,95,15,68,12,1
California,Covina,"47,985",171,2,25,43,101,"1,189",239,779,171,11
California,Crescent City,"6,716",23,0,2,8,13,311,59,238,14,6
California,Cudahy,"23,828",89,2,2,29,56,214,39,111,64,3
California,Culver City,"39,252",182,0,2,102,78,"1,647",172,"1,380",95,1
California,Cupertino,"60,357",55,1,6,14,34,"1,018",175,803,40,1
California,Cypress,"49,085",52,1,7,21,23,596,98,424,74,2
California,Daly City,"107,748",232,0,44,91,97,"1,868",170,"1,517",181,12
California,Dana Point,"33,779",52,0,0,18,34,399,61,311,27,0
California,Danville,"44,997",23,1,5,7,10,296,36,247,13,1
California,Davis,"69,767",107,2,21,44,40,"2,190",274,"1,816",100,4
California,Delano,"53,002",205,8,8,33,156,"1,118",203,603,312,40
California,Del Mar,"4,369",7,0,1,2,4,67,17,37,13,0
California,Del Rey Oaks,"1,674",7,0,0,6,1,39,8,30,1,0
California,Desert Hot Springs,"29,107",255,5,13,59,178,680,301,216,163,4
California,Diamond Bar,"56,364",72,1,4,25,42,908,282,574,52,2
California,Dinuba,"24,685",161,1,5,25,130,530,58,405,67,20
California,Dixon,"20,775",54,0,4,14,36,389,35,284,70,3
California,Dorris,897,4,0,0,0,4,11,8,2,1,0
